solar 1.367000048048794e+03
albedo 3.499999940395355e-01
planet 2.360000071348623e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.563459258777771e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
   2726.1,  176.40,  176.40 shade, <-0.107, 0.714, 0.692>, < 0.000, 0.000, 1.000>,  1.064
  2781.73,  180.00,  180.00 shade, <-0.063, 0.714, 0.697>, < 0.000, 0.000, 1.000>,  1.064
  2837.36,  183.60,  183.60 shade, <-0.019, 0.714, 0.700>, < 0.000, 0.000, 1.000>,  1.064
     2893,  187.20,  187.20 shade, < 0.025, 0.714, 0.699>, <-0.000, 0.000, 1.000>,  1.064
  2948.63,  190.80,  190.80 shade, < 0.069, 0.714, 0.696>, <-0.000,-0.000, 1.000>,  1.064
  3004.27,  194.40,  194.40 shade, < 0.112, 0.714, 0.691>, < 0.000, 0.000, 1.000>,  1.064
   3059.9,  198.00,  198.00 shade, < 0.156, 0.714, 0.682>, <-0.000, 0.000, 1.000>,  1.064
  3115.54,  201.60,  201.60 shade, < 0.198, 0.714, 0.671>, <-0.000, 0.000, 1.000>,  1.064
  3171.17,  205.20,  205.20 shade, < 0.240, 0.714, 0.657>, < 0.000, 0.000, 1.000>,  1.064
  3226.81,  208.80,  208.80 shade, < 0.281, 0.714, 0.641>, < 0.000, 0.000, 1.000>,  1.064
  3282.44,  212.40,  212.40 shade, < 0.320, 0.714, 0.622>, <-0.000, 0.000, 1.000>,  1.064
  3338.08,  216.00,  216.00 shade, < 0.359, 0.714, 0.601>, < 0.000, 0.000, 1.000>,  1.064
  3393.71,  219.60,  219.60 shade, < 0.396, 0.714, 0.577>, <-0.000,-0.000, 1.000>,  1.064
  3449.34,  223.20,  223.20 shade, < 0.431, 0.714, 0.551>, <-0.000, 0.000, 1.000>,  1.064
  3504.98,  226.80,  226.80 shade, < 0.465, 0.714, 0.523>, <-0.000, 0.000, 1.000>,  1.064
  3560.61,  230.40,  230.40 shade, < 0.497, 0.714, 0.493>, < 0.000, 0.000, 1.000>,  1.064
  3616.25,  234.00,  234.00 shade, < 0.527, 0.714, 0.461>, <-0.000, 0.000, 1.000>,  1.064
  3671.88,  237.60,  237.60 shade, < 0.555, 0.714, 0.427>, < 0.000,-0.000, 1.000>,  1.064
  3727.52,  241.20,  241.20 shade, < 0.580, 0.714, 0.391>, < 0.000, 0.000, 1.000>,  1.064
  3783.15,  244.80,  244.80 shade, < 0.604, 0.714, 0.354>, <-0.000, 0.000, 1.000>,  1.064
  3800.95,  245.95,  245.95 exit,  < 0.611, 0.714, 0.341>, < 0.000, 0.000, 1.000>,  1.064
  3838.79,  248.40,  248.40 sun,   < 0.625, 0.714, 0.315>, <-0.000,-0.000, 1.000>,  1.064
  3894.42,  252.00,  252.00 sun,   < 0.643, 0.714, 0.275>, < 0.000, 0.000, 1.000>,  1.064
  3950.06,  255.60,  255.60 sun,   < 0.659, 0.714, 0.234>, < 0.000,-0.000, 1.000>,  1.064
  4005.69,  259.20,  259.20 sun,   < 0.673, 0.714, 0.192>, <-0.000,-0.000, 1.000>,  1.064
  4061.33,  262.80,  262.80 sun,   < 0.684, 0.714, 0.150>, <-0.000, 0.000, 1.000>,  1.064
  4116.96,  266.40,  266.40 sun,   < 0.692, 0.714, 0.107>, < 0.000, 0.000, 1.000>,  1.064
  4172.59,  270.00,  270.00 sun,   < 0.697, 0.714, 0.063>, < 0.000, 0.000, 1.000>,  1.064
  4228.23,  273.60,  273.60 sun,   < 0.700, 0.714, 0.019>, <-0.000,-0.000, 1.000>,  1.064
  4283.86,  277.20,  277.20 sun,   < 0.699, 0.714,-0.025>, < 0.000, 0.000, 1.000>,  1.064
   4339.5,  280.80,  280.80 sun,   < 0.696, 0.714,-0.069>, < 0.000, 0.000, 1.000>,  1.064
  4395.13,  284.40,  284.40 sun,   < 0.691, 0.714,-0.112>, < 0.000, 0.000, 1.000>,  1.064
  4450.77,  288.00,  288.00 sun,   < 0.682, 0.714,-0.156>, < 0.000,-0.000, 1.000>,  1.064
   4506.4,  291.60,  291.60 sun,   < 0.671, 0.714,-0.198>, < 0.000, 0.000, 1.000>,  1.064
  4562.04,  295.20,  295.20 sun,   < 0.657, 0.714,-0.240>, < 0.000,-0.000, 1.000>,  1.064
  4617.67,  298.80,  298.80 sun,   < 0.641, 0.714,-0.281>, <-0.000,-0.000, 1.000>,  1.064
  4673.31,  302.40,  302.40 sun,   < 0.622, 0.714,-0.320>, < 0.000,-0.000, 1.000>,  1.064
  4728.94,  306.00,  306.00 sun,   < 0.601, 0.714,-0.359>, < 0.000,-0.000, 1.000>,  1.064
  4784.57,  309.60,  309.60 sun,   < 0.577, 0.714,-0.396>, <-0.000, 0.000, 1.000>,  1.064
  4840.21,  313.20,  313.20 sun,   < 0.551, 0.714,-0.431>, <-0.000,-0.000, 1.000>,  1.064
  4895.84,  316.80,  316.80 sun,   < 0.523, 0.714,-0.465>, <-0.000,-0.000, 1.000>,  1.064
  4951.48,  320.40,  320.40 sun,   < 0.493, 0.714,-0.497>, < 0.000, 0.000, 1.000>,  1.064
  5007.11,  324.00,  324.00 sun,   < 0.461, 0.714,-0.527>, <-0.000,-0.000, 1.000>,  1.064
  5062.75,  327.60,  327.60 sun,   < 0.427, 0.714,-0.555>, < 0.000,-0.000, 1.000>,  1.064
  5118.38,  331.20,  331.20 sun,   < 0.391, 0.714,-0.580>, < 0.000, 0.000, 1.000>,  1.064
  5174.02,  334.80,  334.80 sun,   < 0.354, 0.714,-0.604>, < 0.000,-0.000, 1.000>,  1.064
  5229.65,  338.40,  338.40 sun,   < 0.315, 0.714,-0.625>, <-0.000,-0.000, 1.000>,  1.064
  5285.29,  342.00,  342.00 sun,   < 0.275, 0.714,-0.643>, < 0.000, 0.000, 1.000>,  1.064
  5340.92,  345.60,  345.60 sun,   < 0.234, 0.714,-0.659>, <-0.000, 0.000, 1.000>,  1.064
  5396.56,  349.20,  349.20 sun,   < 0.192, 0.714,-0.673>, <-0.000,-0.000, 1.000>,  1.064
  5452.19,  352.80,  352.80 sun,   < 0.150, 0.714,-0.684>, < 0.000,-0.000, 1.000>,  1.064
  5507.82,  356.40,  356.40 sun,   < 0.107, 0.714,-0.692>, <-0.000,-0.000, 1.000>,  1.064
  5563.46,  360.00,  360.00 sun,   < 0.063, 0.714,-0.697>, <-0.000,-0.000, 1.000>,  1.064

Time,    mean,   true,  speed,   normalize velocity vector
        0,    0.00,    0.00  7.664, < 1.000,-0.000,-0.000>, 
