solar 1.367000048048794e+03
albedo 3.499999940395355e-01
planet 2.360000071348623e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.563459258777771e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
   2726.1,  176.40,  176.40 shade, <-0.063,-0.000, 0.998>, < 0.000, 0.000, 1.000>,  1.064
  2781.73,  180.00,  180.00 shade, <-0.000,-0.000, 1.000>, < 0.000, 0.000, 1.000>,  1.064
  2837.36,  183.60,  183.60 shade, < 0.063, 0.000, 0.998>, < 0.000, 0.000, 1.000>,  1.064
     2893,  187.20,  187.20 shade, < 0.125, 0.000, 0.992>, < 0.000, 0.000, 1.000>,  1.064
  2948.63,  190.80,  190.80 shade, < 0.187, 0.000, 0.982>, < 0.000, 0.000, 1.000>,  1.064
  3004.27,  194.40,  194.40 shade, < 0.249, 0.000, 0.969>, < 0.000, 0.000, 1.000>,  1.064
   3059.9,  198.00,  198.00 shade, < 0.309, 0.000, 0.951>, < 0.000, 0.000, 1.000>,  1.064
  3115.54,  201.60,  201.60 shade, < 0.368, 0.000, 0.930>, < 0.000, 0.000, 1.000>,  1.064
  3171.17,  205.20,  205.20 shade, < 0.426, 0.000, 0.905>, < 0.000, 0.000, 1.000>,  1.064
  3226.81,  208.80,  208.80 shade, < 0.482, 0.000, 0.876>, < 0.000, 0.000, 1.000>,  1.064
  3282.44,  212.40,  212.40 shade, < 0.536, 0.000, 0.844>, < 0.000, 0.000, 1.000>,  1.064
  3338.08,  216.00,  216.00 shade, < 0.588, 0.000, 0.809>, < 0.000, 0.000, 1.000>,  1.064
  3393.71,  219.60,  219.60 shade, < 0.637, 0.000, 0.771>, < 0.000, 0.000, 1.000>,  1.064
  3449.34,  223.20,  223.20 shade, < 0.685, 0.000, 0.729>, < 0.000, 0.000, 1.000>,  1.064
  3504.98,  226.80,  226.80 shade, < 0.729, 0.000, 0.685>, < 0.000, 0.000, 1.000>,  1.064
  3560.61,  230.40,  230.40 shade, < 0.771, 0.000, 0.637>, <-0.000, 0.000, 1.000>,  1.064
  3616.25,  234.00,  234.00 shade, < 0.809, 0.000, 0.588>, <-0.000, 0.000, 1.000>,  1.064
  3671.88,  237.60,  237.60 shade, < 0.844, 0.000, 0.536>, < 0.000, 0.000, 1.000>,  1.064
  3727.52,  241.20,  241.20 shade, < 0.876, 0.000, 0.482>, < 0.000, 0.000, 1.000>,  1.064
  3783.15,  244.80,  244.80 shade, < 0.905, 0.000, 0.426>, < 0.000, 0.000, 1.000>,  1.064
  3838.79,  248.40,  248.40 shade, < 0.930, 0.000, 0.368>, <-0.000, 0.000, 1.000>,  1.064
  3864.01,  250.03,  250.03 exit,  < 0.940, 0.000, 0.341>, < 0.000, 0.000, 1.000>,  1.064
  3894.42,  252.00,  252.00 sun,   < 0.951, 0.000, 0.309>, <-0.000, 0.000, 1.000>,  1.064
  3950.06,  255.60,  255.60 sun,   < 0.969, 0.000, 0.249>, < 0.000, 0.000, 1.000>,  1.064
  4005.69,  259.20,  259.20 sun,   < 0.982, 0.000, 0.187>, < 0.000, 0.000, 1.000>,  1.064
  4061.33,  262.80,  262.80 sun,   < 0.992, 0.000, 0.125>, < 0.000, 0.000, 1.000>,  1.064
  4116.96,  266.40,  266.40 sun,   < 0.998, 0.000, 0.063>, < 0.000, 0.000, 1.000>,  1.064
  4172.59,  270.00,  270.00 sun,   < 1.000, 0.000, 0.000>, < 0.000, 0.000, 1.000>,  1.064
  4228.23,  273.60,  273.60 sun,   < 0.998, 0.000,-0.063>, < 0.000, 0.000, 1.000>,  1.064
  4283.86,  277.20,  277.20 sun,   < 0.992, 0.000,-0.125>, < 0.000, 0.000, 1.000>,  1.064
   4339.5,  280.80,  280.80 sun,   < 0.982, 0.000,-0.187>, < 0.000, 0.000, 1.000>,  1.064
  4395.13,  284.40,  284.40 sun,   < 0.969, 0.000,-0.249>, < 0.000, 0.000, 1.000>,  1.064
  4450.77,  288.00,  288.00 sun,   < 0.951, 0.000,-0.309>, < 0.000, 0.000, 1.000>,  1.064
   4506.4,  291.60,  291.60 sun,   < 0.930, 0.000,-0.368>, < 0.000, 0.000, 1.000>,  1.064
  4562.04,  295.20,  295.20 sun,   < 0.905, 0.000,-0.426>, < 0.000, 0.000, 1.000>,  1.064
  4617.67,  298.80,  298.80 sun,   < 0.876, 0.000,-0.482>, < 0.000, 0.000, 1.000>,  1.064
  4673.31,  302.40,  302.40 sun,   < 0.844, 0.000,-0.536>, < 0.000, 0.000, 1.000>,  1.064
  4728.94,  306.00,  306.00 sun,   < 0.809, 0.000,-0.588>, < 0.000, 0.000, 1.000>,  1.064
  4784.57,  309.60,  309.60 sun,   < 0.771, 0.000,-0.637>, < 0.000, 0.000, 1.000>,  1.064
  4840.21,  313.20,  313.20 sun,   < 0.729, 0.000,-0.685>, < 0.000, 0.000, 1.000>,  1.064
  4895.84,  316.80,  316.80 sun,   < 0.685, 0.000,-0.729>, < 0.000, 0.000, 1.000>,  1.064
  4951.48,  320.40,  320.40 sun,   < 0.637, 0.000,-0.771>, < 0.000, 0.000, 1.000>,  1.064
  5007.11,  324.00,  324.00 sun,   < 0.588, 0.000,-0.809>, < 0.000, 0.000, 1.000>,  1.064
  5062.75,  327.60,  327.60 sun,   < 0.536, 0.000,-0.844>, < 0.000, 0.000, 1.000>,  1.064
  5118.38,  331.20,  331.20 sun,   < 0.482, 0.000,-0.876>, < 0.000, 0.000, 1.000>,  1.064
  5174.02,  334.80,  334.80 sun,   < 0.426, 0.000,-0.905>, < 0.000, 0.000, 1.000>,  1.064
  5229.65,  338.40,  338.40 sun,   < 0.368, 0.000,-0.930>, < 0.000, 0.000, 1.000>,  1.064
  5285.29,  342.00,  342.00 sun,   < 0.309, 0.000,-0.951>, < 0.000, 0.000, 1.000>,  1.064
  5340.92,  345.60,  345.60 sun,   < 0.249, 0.000,-0.969>, < 0.000, 0.000, 1.000>,  1.064
  5396.56,  349.20,  349.20 sun,   < 0.187, 0.000,-0.982>, < 0.000, 0.000, 1.000>,  1.064
  5452.19,  352.80,  352.80 sun,   < 0.125, 0.000,-0.992>, < 0.000, 0.000, 1.000>,  1.064
  5507.82,  356.40,  356.40 sun,   < 0.063, 0.000,-0.998>, < 0.000, 0.000, 1.000>,  1.064
  5563.46,  360.00,  360.00 sun,   < 0.000, 0.000,-1.000>, < 0.000, 0.000, 1.000>,  1.064

Time,    mean,   true,  speed,   normalize velocity vector
        0,    0.00,    0.00  7.664, < 1.000, 0.000, 0.000>, 
  55.6346,    3.60,    3.60  7.664, < 1.000, 0.000, 0.000>, 
  111.269,    7.20,    7.20  7.664, < 1.000, 0.000, 0.000>, 
  166.904,   10.80,   10.80  7.664, < 1.000, 0.000, 0.000>, 
  222.538,   14.40,   14.40  7.664, < 1.000, 0.000, 0.000>, 
  278.173,   18.00,   18.00  7.664, < 1.000, 0.000,-0.000>, 
  333.808,   21.60,   21.60  7.664, < 1.000, 0.000, 0.000>, 
  389.442,   25.20,   25.20  7.664, < 1.000, 0.000, 0.000>, 
  445.077,   28.80,   28.80  7.664, < 1.000, 0.000, 0.000>, 
  500.711,   32.40,   32.40  7.664, < 1.000, 0.000,-0.000>, 
  556.346,   36.00,   36.00  7.664, < 1.000, 0.000, 0.000>, 
  611.981,   39.60,   39.60  7.664, < 1.000, 0.000,-0.000>, 
  667.615,   43.20,   43.20  7.664, < 1.000, 0.000, 0.000>, 
   723.25,   46.80,   46.80  7.664, < 1.000, 0.000, 0.000>, 
  778.884,   50.40,   50.40  7.664, < 1.000, 0.000, 0.000>, 
  834.519,   54.00,   54.00  7.664, < 1.000, 0.000, 0.000>, 
  890.153,   57.60,   57.60  7.664, < 1.000, 0.000, 0.000>, 
  945.788,   61.20,   61.20  7.664, < 1.000, 0.000, 0.000>, 
  1001.42,   64.80,   64.80  7.664, < 1.000, 0.000, 0.000>, 
  1057.06,   68.40,   68.40  7.664, < 1.000, 0.000, 0.000>, 
  1112.69,   72.00,   72.00  7.664, < 1.000, 0.000, 0.000>, 
  1168.33,   75.60,   75.60  7.664, < 1.000, 0.000, 0.000>, 
  1223.96,   79.20,   79.20  7.664, < 1.000, 0.000, 0.000>, 
   1279.6,   82.80,   82.80  7.664, < 1.000, 0.000, 0.000>, 
  1335.23,   86.40,   86.40  7.664, < 1.000, 0.000, 0.000>, 
  1390.86,   90.00,   90.00  7.664, < 1.000, 0.000, 0.000>, 
   1446.5,   93.60,   93.60  7.664, < 1.000, 0.000, 0.000>, 
  1502.13,   97.20,   97.20  7.664, < 1.000, 0.000, 0.000>, 
  1557.77,  100.80,  100.80  7.664, < 1.000, 0.000,-0.000>, 
   1613.4,  104.40,  104.40  7.664, < 1.000, 0.000, 0.000>, 
  1669.04,  108.00,  108.00  7.664, < 1.000, 0.000,-0.000>, 
  1699.44,  109.97,  109.97  7.664, < 1.000, 0.000, 0.000>, 
  1724.67,  111.60,  111.60  7.664, < 1.000, 0.000, 0.000>, 
  1780.31,  115.20,  115.20  7.664, < 1.000, 0.000, 0.000>, 
  1835.94,  118.80,  118.80  7.664, < 1.000, 0.000, 0.000>, 
  1891.58,  122.40,  122.40  7.664, < 1.000, 0.000,-0.000>, 
  1947.21,  126.00,  126.00  7.664, < 1.000, 0.000, 0.000>, 
  2002.85,  129.60,  129.60  7.664, < 1.000, 0.000,-0.000>, 
  2058.48,  133.20,  133.20  7.664, < 1.000, 0.000, 0.000>, 
  2114.11,  136.80,  136.80  7.664, < 1.000, 0.000, 0.000>, 
  2169.75,  140.40,  140.40  7.664, < 1.000, 0.000, 0.000>, 
  2225.38,  144.00,  144.00  7.664, < 1.000, 0.000, 0.000>, 
  2281.02,  147.60,  147.60  7.664, < 1.000, 0.000, 0.000>, 
  2336.65,  151.20,  151.20  7.664, < 1.000, 0.000, 0.000>, 
  2392.29,  154.80,  154.80  7.664, < 1.000, 0.000, 0.000>, 
  2447.92,  158.40,  158.40  7.664, < 1.000, 0.000, 0.000>, 
  2503.56,  162.00,  162.00  7.664, < 1.000, 0.000, 0.000>, 
  2559.19,  165.60,  165.60  7.664, < 1.000, 0.000, 0.000>, 
  2614.83,  169.20,  169.20  7.664, < 1.000, 0.000, 0.000>, 
  2670.46,  172.80,  172.80  7.664, < 1.000, 0.000, 0.000>, 
   2726.1,  176.40,  176.40  7.664, < 1.000, 0.000, 0.000>, 
  2781.73,  180.00,  180.00  7.664, < 1.000, 0.000, 0.000>, 
  2837.36,  183.60,  183.60  7.664, < 1.000, 0.000, 0.000>, 
     2893,  187.20,  187.20  7.664, < 1.000, 0.000, 0.000>, 
  2948.63,  190.80,  190.80  7.664, < 1.000, 0.000, 0.000>, 
  3004.27,  194.40,  194.40  7.664, < 1.000, 0.000, 0.000>, 
   3059.9,  198.00,  198.00  7.664, < 1.000, 0.000, 0.000>, 
  3115.54,  201.60,  201.60  7.664, < 1.000, 0.000, 0.000>, 
  3171.17,  205.20,  205.20  7.664, < 1.000, 0.000, 0.000>, 
  3226.81,  208.80,  208.80  7.664, < 1.000, 0.000, 0.000>, 
  3282.44,  212.40,  212.40  7.664, < 1.000, 0.000, 0.000>, 
  3338.08,  216.00,  216.00  7.664, < 1.000, 0.000, 0.000>, 
  3393.71,  219.60,  219.60  7.664, < 1.000, 0.000, 0.000>, 
  3449.34,  223.20,  223.20  7.664, < 1.000, 0.000, 0.000>, 
  3504.98,  226.80,  226.80  7.664, < 1.000, 0.000, 0.000>, 
  3560.61,  230.40,  230.40  7.664, < 1.000, 0.000, 0.000>, 
  3616.25,  234.00,  234.00  7.664, < 1.000, 0.000, 0.000>, 
  3671.88,  237.60,  237.60  7.664, < 1.000, 0.000, 0.000>, 
  3727.52,  241.20,  241.20  7.664, < 1.000, 0.000, 0.000>, 
  3783.15,  244.80,  244.80  7.664, < 1.000, 0.000, 0.000>, 
  3838.79,  248.40,  248.40  7.664, < 1.000, 0.000, 0.000>, 
  3864.01,  250.03,  250.03  7.664, < 1.000, 0.000, 0.000>, 
  3894.42,  252.00,  252.00  7.664, < 1.000, 0.000, 0.000>, 
  3950.06,  255.60,  255.60  7.664, < 1.000, 0.000, 0.000>, 
  4005.69,  259.20,  259.20  7.664, < 1.000, 0.000, 0.000>, 
  4061.33,  262.80,  262.80  7.664, < 1.000, 0.000, 0.000>, 
  4116.96,  266.40,  266.40  7.664, < 1.000, 0.000, 0.000>, 
  4172.59,  270.00,  270.00  7.664, < 1.000, 0.000, 0.000>, 
  4228.23,  273.60,  273.60  7.664, < 1.000, 0.000, 0.000>, 
  4283.86,  277.20,  277.20  7.664, < 1.000, 0.000, 0.000>, 
   4339.5,  280.80,  280.80  7.664, < 1.000, 0.000, 0.000>, 
  4395.13,  284.40,  284.40  7.664, < 1.000, 0.000, 0.000>, 
  4450.77,  288.00,  288.00  7.664, < 1.000, 0.000, 0.000>, 
   4506.4,  291.60,  291.60  7.664, < 1.000, 0.000, 0.000>, 
  4562.04,  295.20,  295.20  7.664, < 1.000, 0.000, 0.000>, 
  4617.67,  298.80,  298.80  7.664, < 1.000, 0.000, 0.000>, 
  4673.31,  302.40,  302.40  7.664, < 1.000, 0.000, 0.000>, 
  4728.94,  306.00,  306.00  7.664, < 1.000, 0.000, 0.000>, 
  4784.57,  309.60,  309.60  7.664, < 1.000, 0.000,-0.000>, 
  4840.21,  313.20,  313.20  7.664, < 1.000, 0.000, 0.000>, 
  4895.84,  316.80,  316.80  7.664, < 1.000, 0.000, 0.000>, 
  4951.48,  320.40,  320.40  7.664, < 1.000, 0.000, 0.000>, 
  5007.11,  324.00,  324.00  7.664, < 1.000, 0.000, 0.000>, 
  5062.75,  327.60,  327.60  7.664, < 1.000, 0.000, 0.000>, 
  5118.38,  331.20,  331.20  7.664, < 1.000, 0.000, 0.000>, 
  5174.02,  334.80,  334.80  7.664, < 1.000, 0.000,-0.000>, 
  5229.65,  338.40,  338.40  7.664, < 1.000, 0.000, 0.000>, 
  5285.29,  342.00,  342.00  7.664, < 1.000, 0.000, 0.000>, 
  5340.92,  345.60,  345.60  7.664, < 1.000, 0.000, 0.000>, 
  5396.56,  349.20,  349.20  7.664, < 1.000, 0.000, 0.000>, 
  5452.19,  352.80,  352.80  7.664, < 1.000, 0.000, 0.000>, 
  5507.82,  356.40,  356.40  7.664, < 1.000, 0.000, 0.000>, 
  5563.46,  360.00,  360.00  7.664, < 1.000, 0.000, 0.000>, 

Celestial coordinates:
Time,    mean,   true,   X,   Y,   Z
        0,    0.00,    0.00,       6786.1,  -7.2403e-10,            0, 
  55.6346,    3.60,    3.60,       6772.7,       426.11,            0, 
  111.269,    7.20,    7.20,       6732.6,       850.53,            0, 
  166.904,   10.80,   10.80,       6665.9,       1271.6,            0, 
  222.538,   14.40,   14.40,       6572.9,       1687.6,            0, 
  278.173,   18.00,   18.00,         6454,         2097,            0, 
  333.808,   21.60,   21.60,       6309.6,       2498.1,            0, 
  389.442,   25.20,   25.20,       6140.3,       2889.4,            0, 
  445.077,   28.80,   28.80,       5946.7,       3269.2,            0, 
